gene,baseMean,log2FoldChange,lfcSE,stat,pvalue
MALAT1,73086.44629229375,0.0491272175567909,0.0210489463962981,2.333951383211794,0.0195982677489523
FTH1,116413.86610458922,-0.8968299337836758,0.0728728754239011,-12.30677297371376,8.328719087613732e-35
FTL,58623.01510573471,-0.3802274491219563,0.0808323825298277,-4.703900061112881,2.55238222140882e-06
B2M,50817.22659973717,0.5501893431848771,0.0376880286875922,14.59851741638086,2.8701930770669526e-48
TMSB4X,36766.301840486165,-0.1514724305545023,0.0565911526387207,-2.676609743602607,0.0074371205163122
ISG15,21233.25598357668,6.508088212711684,0.3208138962795908,20.286179271485967,1.7032908741115338e-91
HLA-B,10627.991638830734,0.5721290883794378,0.0459332895749809,12.455652396624044,1.3028173531302577e-35
CXCL10,11880.60814929837,7.079007182638558,0.2900837856308433,24.403319086738637,1.5769194776607073e-131
TIMP1,11454.027309442885,-0.9700399781688916,0.0923733192235616,-10.501300443921508,8.519821050954157e-26
RPS2,9451.458231965626,-0.267655458519019,0.0386838650968219,-6.919046425405096,4.5469384827136974e-12
RPL10,9294.341839435028,-0.4432027528593772,0.0457141320526427,-9.695092807383968,3.163499401968688e-22
ACTB,8207.35973885309,-1.0134355605101155,0.0555754484154892,-18.235310544568883,2.707120025197805e-74
RPL13,9094.150050580603,-0.1565587359881581,0.0523968918187792,-2.9879393710916062,0.0028086526493471
RPS18,8560.181501228817,0.0366668212889965,0.0473559309968573,0.7742815000602545,0.4387643413578699
CCL2,8568.794289332942,2.076557332602486,0.2060816852821145,10.076379809102365,7.02675011153553e-24
RPS6,7639.028777350342,-0.3668115973779756,0.0751252956316675,-4.882664278306727,1.0466197936953446e-06
RPL13A,7377.43908770193,-0.2341097259633514,0.0488307640942798,-4.794308061846933,1.632372669263478e-06
RPLP1,7301.34641218895,0.0346845394129622,0.0282611128816417,1.22728852038566,0.2197141687173123
RPS19,7298.829768313652,0.0102427191009997,0.0424421521342403,0.2413336408720041,0.8092965396313532
RPS4X,7208.1573156496015,-0.3027968167460853,0.0538463346612122,-5.623350570678717,1.872887757796391e-08
RPL3,7113.524059042816,-0.4041688381230861,0.0547710719920368,-7.37923913889887,1.5919666572185226e-13
RPL21,6822.136520561724,-0.1991783646530069,0.0605005851373673,-3.292172533551039,0.0009941660069877
HLA-DRA,6360.41028798086,-0.3502060196712195,0.0654172824069845,-5.353417427102233,8.630843031846331e-08
RPS14,6442.631997732758,-0.0108922481916755,0.054705973710732,-0.1991052796038391,0.8421803913881525
HLA-A,5470.988533069931,0.4902332922890589,0.0480424629421086,10.204166528260464,1.899449297496282e-24
RPL32,6003.941419819034,0.022644402327309,0.0476708738956365,0.4750154649332282,0.6347759504636913
RPS3,5950.01842724175,-0.3102243161425021,0.0497091699788132,-6.240786484158231,4.35376207887581e-10
CD74,4948.301312284546,0.1321338378383361,0.0692922126379607,1.906907469223294,0.0565325707884845
CCL8,5948.022792860118,9.878505067988057,0.4870863997744294,20.28080659316871,1.8999023267204402e-91
