gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.1,0.18909762218002557,-1.4341009904344997,1.9853428619949174,-0.7223442448592897,0.47008285681422246,
RP11-206L10.2,0.21023114252842617,-1.53023053581898,2.2626170005587176,-0.6763100142185414,0.4988438359988606,
LINC00115,2.8169087098474375,-0.6693490341108075,0.4718462290380576,-1.4185745120298925,0.156023101048231,0.34660439878997584
NOC2L,56.20394872527956,-0.07640549835671505,0.1501388547517083,-0.5088989021733942,0.6108230895288396,0.7912758345712617
KLHL17,0.7340014101547113,-1.3621668945418657,0.9988801413911176,-1.363694039051379,0.17266388093053897,
PLEKHN1,4.196313584235153,1.5764832895252598,0.4968472372535412,3.172973846528164,0.0015088611586113992,0.009209175744302599
HES4,240.42220768822915,5.258160235018346,0.272075751685242,19.326089158806724,3.240717066380704e-83,1.1309149409590312e-80
ISG15,22347.413437048104,6.372366786222041,0.34339793708004,18.55679984686907,7.185973812859188e-77,2.07955071437986e-74
AGRN,3.0545523008966486,1.1293532834031075,0.5418191352700923,2.0843731974141786,0.03712623388026558,0.12294244068918533
C1orf159,2.692749012273362,0.600852735893205,0.535021336305498,1.1230444378953088,0.2614186218386251,0.48708102200302866
TNFRSF18,52.78125377180025,-0.7043666458850156,0.22934868510657688,-3.071160602284251,0.002132284253575739,0.012269424184615007
TNFRSF4,68.52502064597945,-0.3144325571411381,0.3012513842472474,-1.0437547297146108,0.2965988813061272,0.5277679089038386
SDF4,80.20616460230873,-0.3147868276014584,0.1268577161344559,-2.4814164813421145,0.01308613730258915,0.054594591805633
B3GALT6,8.047896388209903,-0.41754549149445275,0.3082672674233578,-1.3544918180398897,0.17557952198483207,0.3752929253017533
UBE2J2,75.81975742012506,-0.3951881356114756,0.10767940936100248,-3.67004367832833,0.00024250902694460775,0.001853975260758873
ACAP3,3.216309234132341,-0.803083716708087,0.46035186859895827,-1.7444997435379244,0.08107198609066288,0.22011879061000345
PUSL1,13.126400399509466,-1.156849891936341,0.2806221103338907,-4.122447410005913,3.7486821058311956e-05,0.0003434603334802095
CPSF3L,43.7769903556627,-0.2134838302093899,0.15384597531006447,-1.3876465067034094,0.16524471247436834,0.3603434136203603
GLTPD1,12.046797240139751,-0.48211820837251,0.26854466806436206,-1.795299872634078,0.0726059353335117,0.2024604988794633
DVL1,1.6926525852649714,-1.4862863081645254,0.7427727774449115,-2.000997281129837,0.045392682894198504,0.14298122545378789
AURKAIP1,244.06290939282638,-0.27416335258265073,0.08882442946176876,-3.0865760044161545,0.0020247617656364335,0.011764837585345878
CCNL2,36.569784593157024,-0.24396873906222324,0.1493184125256487,-1.633882485994929,0.102283527905829,0.26053972919765156
RP4-758J18.2,24.756070450655915,0.15431545962257917,0.18469662070773202,0.8355077587844519,0.4034318802701472,0.6346161073457085
MRPL20,159.17801595084165,-0.24013095135362275,0.08716791661396424,-2.7548088870481724,0.005872642736769523,0.028556928717938683
ATAD3C,0.3710807156079829,0.14312073236003564,1.5797537800440282,0.090596860199345,0.9278129268717291,
ATAD3B,6.308716927354277,-0.13069911469081139,0.3532731672907184,-0.3699661530853132,0.7114077097791803,0.8576960512453407
ATAD3A,7.459573624894009,0.15496235154752272,0.32063753777715764,0.4832944783128331,0.6288866601053151,0.8043268537403864
SSU72,196.45071794919215,-0.3996913993605352,0.07480882872697878,-5.342837284877741,9.150289567505936e-08,1.3486731145150053e-06
AL645728.1,2.2548858432904155,-0.3162944423738533,0.5496279048670559,-0.5754701309249548,0.5649733857714896,0.7610413934823378
RP11-345P4.9,7.486128319081338,-0.49058425813223727,0.3219422964174425,-1.5238266720199052,0.12755201490377863,0.3047532534904014
MIB2,14.764305971708692,-0.522898551232391,0.22662850113216765,-2.3072938691300853,0.021038443078453817,0.0793455585269722
MMP23B,0.45902415025273885,0.5100421144215621,1.3390868492249897,0.3808880019371068,0.7032863557136312,
CDK11B,11.743676917519672,-0.16139011632980474,0.24604609701460203,-0.6559344703615712,0.511866288131088,0.7212081117058972
SLC35E2B,5.154123490074179,-0.2170186252790515,0.3863571486691847,-0.56170469739353,0.5743172333533187,0.7672004023572537
CDK11A,34.021702532440926,0.15587752687334483,0.1665924624405346,0.9356817504812711,0.34943706949085274,0.5822315446579087
SLC35E2,0.3364997784619474,-0.4126689294414633,1.4165218177196304,-0.2913255018590487,0.7708023852227521,
NADK,81.52713567331163,3.115929078097595,0.23744367202492353,13.122813724724272,2.4371518528155686e-39,2.141985683974572e-37
GNB1,80.38232630585411,0.3354626918498196,0.22754193805674267,1.474289507748521,0.14040365895711848,0.32441858101776255
PRKCZ,4.391532734586365,-0.9245507931473735,0.5238275552331452,-1.7649907568071221,0.07756531918395478,0.21273983174240021
RP5-892K4.1,0.15627986062727334,-1.256411617051747,2.349209814016066,-0.5348230752126232,0.5927722051303927,
C1orf86,70.58115540960992,-0.4291215539098823,0.16889905766656266,-2.5406983309347173,0.01106313279696358,0.047628472654562
AL590822.2,0.1265162217474197,-1.1100753537839256,2.462811751450344,-0.4507349589875088,0.652180583186051,
SKI,15.136489480944828,-1.212277551956243,0.28382659706732155,-4.271190806225605,1.9443196092305974e-05,0.00018955917965095346
MORN1,0.651068552835147,0.03795394844227345,0.974827011985152,0.0389340344242036,0.9689429815849833,
RER1,264.53382836179276,0.06737471154030161,0.08703105350741955,0.7741456506045604,0.43884466408800815,0.6655516875332796
